"year","adult","change_by_year"
2000,"7.55",NULL
2001,"7.70","0.15"
2002,"8.00","0.30"
2003,"8.50","0.50"
2004,"9.00","0.50"
2005,"9.50","0.50"
2006,"10.25","0.75"
2007,"11.25","1.00"
2008,"12.00","0.75"
2009,"12.50","0.50"
2010,"12.75","0.25"
2011,"13.00","0.25"
2012,"13.50","0.50"
2013,"13.75","0.25"
2014,"14.25","0.50"
2015,"14.75","0.50"
2016,"15.25","0.50"
2017,"15.75","0.50"
2018,"16.50","0.75"
2019,"17.70","1.20"
2020,"18.90","1.20"
2021,"20.00","1.10"
2022,"21.20","1.20"
